Time,Time2,LAT,LONG,TEMP1C,TEMP1F,Humidity,Pressure,Altitude
14:51:19,51:19.2,44.481705,-73.20707,27.5,81.5,,,
14:51:20,51:20.2,44.48169,-73.20704833,27.5,81.5,,89.15,
14:51:21,51:21.2,44.48168,-73.20705833,27.25,81.05,,-17.05,
14:51:22,51:22.2,44.48166333,-73.20699167,27.25,81.05,,,
14:51:23,51:23.2,44.48165167,-73.20694,27.25,81.05,,,
14:51:24,51:24.2,44.48149,-73.20705333,27.25,81.05,,,
14:51:25,51:25.2,44.48147667,-73.20706333,27.25,81.05,,,
14:51:26,51:26.2,44.48146,-73.20707,27.25,81.05,,,
14:51:27,51:27.2,44.48145,-73.20707333,27.25,81.05,,,
14:51:28,51:28.2,44.48143167,-73.20708833,27.25,81.05,,,
14:51:29,51:29.2,44.48142167,-73.20708833,27.25,81.05,,,
14:51:30,51:30.2,44.48141333,-73.20707333,27.25,81.05,,,
14:51:31,51:31.2,44.481405,-73.20707667,27.25,81.05,,,
14:51:32,51:32.2,44.48139333,-73.20704333,27.25,81.05,,,
14:51:33,51:33.2,44.48138667,-73.207035,27.25,81.05,,,
14:51:34,51:34.2,44.48137833,-73.207015,27.25,81.05,,,
14:51:35,51:35.2,44.48137,-73.20701333,27.5,81.5,,,
14:51:36,51:36.2,44.48136833,-73.207005,27.25,81.05,,,
14:51:37,51:37.2,44.48136833,-73.207005,27.25,81.05,,,
14:51:38,51:38.2,44.48136167,-73.20700667,27.25,81.05,,,
14:51:39,51:39.2,44.481345,-73.20702167,27.25,81.05,,,
14:51:40,51:40.2,44.48135,-73.207015,27.25,81.05,,,
14:51:41,51:41.2,44.48134667,-73.20701667,27.25,81.05,,,
14:51:42,51:42.2,44.481355,-73.207005,27.25,81.05,,,
14:51:43,51:43.2,44.48135,-73.20699833,27.25,81.05,,,
14:51:44,51:44.2,44.48135333,-73.20698833,27.25,81.05,,,
14:51:45,51:45.2,44.48136,-73.20697667,27.25,81.05,,,
14:51:46,51:46.2,44.48135667,-73.206975,27.25,81.05,,,
14:51:47,51:47.2,44.48135833,-73.20696833,27.5,81.5,,,
14:51:48,51:48.2,44.481355,-73.20696667,27.5,81.5,,,
14:51:49,51:49.2,44.48135167,-73.20696167,27.5,81.5,,,
14:51:50,51:50.2,44.48135,-73.20695833,27.5,81.5,,,
14:51:51,51:51.2,44.48134333,-73.20695833,27.5,81.5,,,
14:51:52,51:52.2,44.481335,-73.20696167,27.5,81.5,,,
14:51:53,51:53.2,44.48133667,-73.20696,27.75,81.95,,,
14:51:54,51:54.2,44.481335,-73.206955,27.5,81.5,,,
14:51:55,51:55.2,44.48133,-73.20696,27.75,81.95,,,
14:51:56,51:56.2,44.481325,-73.20695333,27.5,81.5,,,
14:51:57,51:57.2,44.48132167,-73.20695333,27.75,81.95,,,
14:51:58,51:58.2,44.48132333,-73.20695167,27.75,81.95,,,
